appid,name,tag_id,tag_name,overall_rating_bin,steam_score_desc,steam_score_desc_ko,overall_positive_review_percent,search_total_reviews,korean_reviews,korean_positive_percent,search_rank,search_sort,review_score_desc,priority
214950,Total War: ROME II - Emperor Edition,9,Strategy,Very Positive,Very Positive,매우 긍정적,87.48,31777,762,89.9,206,Reviews_ASC,Very Positive,124
10180,Call of Duty®: Modern Warfare® 2 (2009),9,Strategy,Very Positive,Very Positive,매우 긍정적,93.31,16872,730,95.62,150,Reviews_ASC,Very Positive,125
325610,Total War: ATTILA,9,Strategy,Very Positive,Very Positive,매우 긍정적,82.39,13303,679,86.3,301,Reviews_ASC,Very Positive,126
47890,The Sims™ 3,9,Strategy,Very Positive,Very Positive,매우 긍정적,86.25,20405,665,82.86,172,Reviews_ASC,Very Positive,127
203140,Hitman: Absolution™,9,Strategy,Very Positive,Very Positive,매우 긍정적,93.15,13801,661,86.23,769,Reviews_ASC,Very Positive,128
933110,Age of Empires III: Definitive Edition,9,Strategy,Very Positive,Very Positive,매우 긍정적,85.54,18555,623,72.71,161,Reviews_ASC,Very Positive,129
3097560,Liar's Bar,9,Strategy,Very Positive,Very Positive,매우 긍정적,89.81,14996,588,89.29,52,Reviews_ASC,Very Positive,130
588430,Fallout Shelter,9,Strategy,Very Positive,Very Positive,매우 긍정적,87.89,32592,569,82.6,464,Reviews_ASC,Very Positive,131
535930,Two Point Hospital,9,Strategy,Very Positive,Very Positive,매우 긍정적,91.96,12587,565,90.8,357,Reviews_ASC,Very Positive,132
223750,DCS World Steam Edition,9,Strategy,Very Positive,Very Positive,매우 긍정적,85.02,22830,550,90.73,125,Reviews_ASC,Very Positive,133
244850,Space Engineers,9,Strategy,Very Positive,Very Positive,매우 긍정적,88.89,67390,528,85.61,302,Reviews_ASC,Very Positive,134
373420,Divinity: Original Sin - Enhanced Edition,9,Strategy,Very Positive,Very Positive,매우 긍정적,89.38,11568,495,87.27,363,Reviews_ASC,Very Positive,135
1213210,Command & Conquer™ Remastered Collection,9,Strategy,Very Positive,Very Positive,매우 긍정적,90.68,17704,493,88.44,735,Reviews_ASC,Very Positive,136
16900,GROUND BRANCH,9,Strategy,Very Positive,Very Positive,매우 긍정적,88.52,14274,479,83.3,607,Reviews_ASC,Very Positive,137
