appid,name,overall_rating_bin,overall_positive_review_percent,korean_reviews,korean_positive_percent,search_rank,review_score_desc,priority
933110,Age of Empires III: Definitive Edition,80-090,84.0,624,72.76,2796,Very Positive,147
644930,They Are Billions,80-090,80.0,1956,83.9,2797,Very Positive,148
223750,DCS World Steam Edition,80-090,84.0,550,90.73,2798,Very Positive,149
47890,The Sims™ 3,80-090,86.0,665,82.86,2799,Very Positive,150
2795000,The WereCleaner,90-100,99.0,226,99.12,1,Overwhelmingly Positive,151
1260520,Patrick's Parabox,90-100,99.0,164,99.39,3,Overwhelmingly Positive,152
3862670,Shelldiver,90-100,98.0,1026,99.32,8,Overwhelmingly Positive,153
1927720,Monument Valley,90-100,97.0,201,98.51,10,Overwhelmingly Positive,154
432350,Epic Battle Fantasy 5,90-100,98.0,137,97.81,11,Overwhelmingly Positive,155
2735620,BoardLand,90-100,98.0,300,99.67,20,Overwhelmingly Positive,156
3464370,Sani Yang's Laboratory,90-100,98.0,435,99.31,22,Overwhelmingly Positive,157
4314560,Cartapli : Fold Quest,90-100,98.0,114,100.0,25,Overwhelmingly Positive,158
960090,Bloons TD 6,90-100,97.0,1851,95.52,28,Overwhelmingly Positive,159
3164500,Schedule I,90-100,97.0,508,94.29,29,Overwhelmingly Positive,160
526870,Satisfactory,90-100,97.0,3907,96.78,30,Overwhelmingly Positive,161
294100,RimWorld,90-100,97.0,8056,98.09,31,Overwhelmingly Positive,162
427520,Factorio,90-100,98.0,4050,98.35,32,Overwhelmingly Positive,163
646570,Slay the Spire,90-100,97.0,10097,98.2,33,Overwhelmingly Positive,164
2592160,Dispatch,90-100,97.0,1132,96.2,34,Overwhelmingly Positive,165
2379780,Balatro,90-100,98.0,2339,97.56,35,Overwhelmingly Positive,166
508440,Totally Accurate Battle Simulator,90-100,98.0,3034,95.85,36,Overwhelmingly Positive,167
3590,Plants vs. Zombies GOTY Edition,90-100,98.0,886,92.21,37,Overwhelmingly Positive,168
48700,Mount & Blade: Warband,90-100,97.0,2370,97.09,38,Overwhelmingly Positive,169
1366540,Dyson Sphere Program,90-100,96.0,486,98.15,39,Overwhelmingly Positive,170
239030,"Papers, Please",90-100,97.0,1813,95.2,40,Overwhelmingly Positive,171
1113000,Persona 4 Golden,90-100,97.0,2484,95.53,41,Overwhelmingly Positive,172
1669980,Volcano Princess,90-100,96.0,990,96.26,42,Overwhelmingly Positive,173
531510,Just Shapes & Beats,90-100,97.0,1042,96.83,44,Overwhelmingly Positive,174
736260,Baba Is You,90-100,97.0,2280,98.11,45,Overwhelmingly Positive,175
341800,Keep Talking and Nobody Explodes,90-100,98.0,383,96.08,49,Overwhelmingly Positive,176
246420,Kingdom Rush  - Tower Defense,90-100,96.0,293,96.59,50,Overwhelmingly Positive,177
2162800,shapez 2 - Factory,90-100,97.0,254,95.28,52,Overwhelmingly Positive,178
206190,Gunpoint,90-100,97.0,185,93.51,55,Overwhelmingly Positive,179
3115220,Town to City,90-100,97.0,156,96.79,59,Overwhelmingly Positive,180
2097570,StarVaders,90-100,98.0,181,97.79,60,Overwhelmingly Positive,181
3205380,Omelet You Cook,90-100,97.0,105,95.24,71,Overwhelmingly Positive,182
1086940,Baldur's Gate 3,90-100,96.0,16268,97.13,78,Overwhelmingly Positive,183
10,Counter-Strike,90-100,96.0,538,93.12,79,Overwhelmingly Positive,184
240,Counter-Strike: Source,90-100,96.0,1728,91.03,80,Overwhelmingly Positive,185
457140,Oxygen Not Included,90-100,95.0,4759,95.59,81,Overwhelmingly Positive,186
1092790,Inscryption,90-100,96.0,3617,94.42,82,Overwhelmingly Positive,187
1454400,Cookie Clicker,90-100,96.0,609,95.73,83,Overwhelmingly Positive,188
636480,Ravenfield,90-100,97.0,975,96.31,84,Overwhelmingly Positive,189
2212330,Your Only Move Is HUSTLE,90-100,96.0,134,96.27,85,Overwhelmingly Positive,190
418240,Shadow Tactics: Blades of the Shogun,90-100,94.0,1355,95.28,86,Very Positive,191
1948280,Stacklands,90-100,95.0,2197,95.86,87,Overwhelmingly Positive,192
1455840,Dorfromantik,90-100,96.0,329,90.58,88,Overwhelmingly Positive,193
1127500,Mini Motorways,90-100,96.0,930,96.13,89,Overwhelmingly Positive,194
2239150,Thronefall,90-100,95.0,394,95.69,90,Overwhelmingly Positive,195
2495980,Arrow a Row,90-100,92.0,944,96.5,91,Very Positive,196
3265700,Vampire Crawlers: The Turbo Wildcard from Vampire Survivors,90-100,95.0,267,91.76,92,Overwhelmingly Positive,197
617670,Zup! S,90-100,96.0,152,98.03,93,Overwhelmingly Positive,198
1318690,shapez,90-100,96.0,323,95.67,94,Overwhelmingly Positive,199
2666510,Rusty's Retirement,90-100,97.0,779,96.92,95,Overwhelmingly Positive,200
1239080,Door Kickers 2: Task Force North,90-100,96.0,290,94.83,96,Overwhelmingly Positive,201
610370,Desperados III,90-100,95.0,1054,97.34,97,Overwhelmingly Positive,202
458710,Kingdom Rush Frontiers - Tower Defense,90-100,95.0,230,96.96,100,Overwhelmingly Positive,203
1349230,5D Chess With Multiverse Time Travel,90-100,96.0,128,98.44,103,Overwhelmingly Positive,204
70400,Recettear: An Item Shop's Tale,90-100,96.0,102,95.1,105,Overwhelmingly Positive,205
3320,Insaniquarium Deluxe,90-100,97.0,222,85.14,107,Overwhelmingly Positive,206
265890,Hexcells,90-100,96.0,224,95.54,110,Overwhelmingly Positive,207
236450,PAC-MAN™ Championship Edition DX+,90-100,95.0,119,98.32,111,Overwhelmingly Positive,208
394970,DEADBOLT,90-100,95.0,197,97.97,112,Overwhelmingly Positive,209
