tag_id,tag_name,appid,name,overall_rating_bin,steam_score_desc,steam_score_desc_ko,overall_positive_review_percent,search_total_reviews,korean_reviews,korean_positive_percent,search_rank,search_sort
9,Strategy,457140,Oxygen Not Included,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,95.0,48596,4759,95.59,69,Reviews_ASC
9,Strategy,212680,FTL: Faster Than Light,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,95.0,46410,1722,94.43,573,Reviews_ASC
9,Strategy,636480,Ravenfield,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,97.0,45717,975,96.31,84,Reviews_DESC
9,Strategy,1113000,Persona 4 Golden,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,97.0,44992,2485,95.53,41,Reviews_DESC
9,Strategy,240,Counter-Strike: Source,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,96.0,44681,1727,91.02,80,Reviews_DESC
9,Strategy,3590,Plants vs. Zombies GOTY Edition,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,98.0,42122,887,92.22,37,Reviews_DESC
9,Strategy,239030,"Papers, Please",Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,97.0,39093,1812,95.2,40,Reviews_DESC
9,Strategy,10,Counter-Strike,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,96.0,34768,538,93.31,79,Reviews_DESC
9,Strategy,2835570,Buckshot Roulette,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,96.0,34480,2137,94.29,90,Reviews_ASC
9,Strategy,286160,Tabletop Simulator,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,96.0,31327,2562,95.12,41,Reviews_ASC
9,Strategy,602960,Barotrauma,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,95.0,27992,539,87.94,156,Reviews_ASC
9,Strategy,1366540,Dyson Sphere Program,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,96.0,24395,486,98.15,39,Reviews_DESC
9,Strategy,1062090,Timberborn,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,96.0,23025,762,94.62,104,Reviews_ASC
9,Strategy,346010,Besiege,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,95.0,22981,1462,93.37,164,Reviews_DESC
9,Strategy,2161700,Persona 3 Reload,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,96.0,21244,1862,93.56,54,Reviews_ASC
9,Strategy,1336490,Against the Storm,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,95.0,18438,1591,94.91,81,Reviews_ASC
9,Strategy,4700,Total War: MEDIEVAL II – Definitive Edition,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,95.0,16694,307,93.16,168,Reviews_DESC
9,Strategy,1127500,Mini Motorways,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,96.0,15718,930,96.13,89,Reviews_DESC
9,Strategy,1455840,Dorfromantik,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,96.0,15535,329,90.58,88,Reviews_DESC
9,Strategy,1256670,Library Of Ruina,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,96.0,13550,7146,90.34,70,Reviews_ASC
9,Strategy,531510,Just Shapes & Beats,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,97.0,13137,1042,96.83,44,Reviews_DESC
9,Strategy,736260,Baba Is You,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,97.0,12363,2280,98.11,45,Reviews_DESC
9,Strategy,1102190,Monster Train,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,96.0,12213,258,93.8,170,Reviews_DESC
9,Strategy,1599600,PlateUp!,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,96.0,12090,526,94.87,240,Reviews_ASC
9,Strategy,1948280,Stacklands,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,95.0,11680,2198,95.86,87,Reviews_DESC
9,Strategy,2239150,Thronefall,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,95.0,10760,395,95.7,90,Reviews_DESC
