game_name,최적화#프레임,최적화#조작감,시스템#버그,콘텐츠#볼륨,콘텐츠#몰입도,시스템#밸런스,시스템#독창성,시스템#자유도,UX#그래픽,UX#캐릭터디자인,UX#사운드,스토리#내러티브,운영#핵/치트,운영#업데이트,콘텐츠#난이도,시스템#진입장벽,콘텐츠#피로도
This War of Mine,0.06,0.04,0.08,0.01,0.04,0.11,0.03,0.03,0.02,0.03,0.01,0.0,0.02,0.06,0.11,0.1,0.05
Thronefall,0.07,0.02,0.06,0.01,0.01,0.21,0.01,0.01,0.0,0.0,0.01,0.01,0.02,0.04,0.19,0.19,0.13
Timberborn,0.05,0.03,0.07,0.07,0.02,0.11,0.05,0.05,0.03,0.01,0.01,0.02,0.02,0.07,0.19,0.14,0.2
Tom Clancy's Ghost Recon® Wildlands,0.14,0.04,0.21,0.05,0.04,0.2,0.06,0.08,0.04,0.03,0.03,0.06,0.04,0.11,0.26,0.23,0.32
Tom Clancy's Rainbow Six Siege,0.03,0.03,0.09,0.0,0.02,0.15,0.01,0.01,0.02,0.02,0.02,0.02,0.07,0.09,0.08,0.1,0.07
Tom Clancy’s Splinter Cell Blacklist,0.24,0.03,0.29,0.03,0.02,0.1,0.03,0.03,0.01,0.03,0.01,0.01,0.01,0.11,0.07,0.08,0.12
Total War: ATTILA,0.08,0.02,0.08,0.06,0.03,0.15,0.01,0.02,0.03,0.01,0.02,0.02,0.02,0.02,0.1,0.12,0.06
Total War: EMPIRE – Definitive Edition,0.11,0.03,0.12,0.04,0.03,0.15,0.05,0.05,0.03,0.03,0.02,0.02,0.04,0.14,0.11,0.13,0.07
Total War: MEDIEVAL II – Definitive Edition,0.13,0.03,0.11,0.02,0.0,0.12,0.03,0.05,0.03,0.03,0.03,0.01,0.03,0.12,0.12,0.16,0.11
Total War: ROME II - Emperor Edition,0.05,0.0,0.09,0.03,0.02,0.13,0.02,0.01,0.0,0.0,0.0,0.0,0.01,0.05,0.05,0.05,0.1
Total War: SHOGUN 2,0.04,0.01,0.07,0.03,0.0,0.13,0.03,0.01,0.02,0.02,0.0,0.01,0.01,0.08,0.1,0.15,0.07
Total War: THREE KINGDOMS,0.18,0.05,0.14,0.05,0.02,0.07,0.05,0.05,0.01,0.01,0.02,0.0,0.03,0.15,0.08,0.16,0.08
Total War: WARHAMMER,0.08,0.01,0.12,0.03,0.01,0.08,0.04,0.02,0.0,0.0,0.0,0.01,0.03,0.12,0.05,0.12,0.04
Total War: WARHAMMER II,0.04,0.02,0.03,0.04,0.01,0.09,0.05,0.02,0.02,0.02,0.02,0.0,0.01,0.05,0.11,0.14,0.09
Total War: WARHAMMER III,0.07,0.03,0.06,0.05,0.02,0.1,0.03,0.0,0.01,0.01,0.01,0.0,0.02,0.08,0.09,0.17,0.09
Totally Accurate Battle Simulator,0.06,0.01,0.08,0.05,0.03,0.1,0.01,0.02,0.0,0.02,0.0,0.0,0.01,0.18,0.04,0.06,0.04
Two Point Hospital,0.08,0.02,0.08,0.04,0.03,0.17,0.04,0.01,0.0,0.0,0.0,0.01,0.03,0.14,0.12,0.17,0.2
Two Point Museum,0.01,0.01,0.03,0.05,0.0,0.06,0.0,0.01,0.0,0.01,0.0,0.0,0.01,0.03,0.08,0.08,0.13
Ultimate Custom Night,0.04,0.01,0.09,0.02,0.02,0.09,0.01,0.02,0.0,0.01,0.0,0.0,0.04,0.05,0.16,0.13,0.14
Uncharted Waters IV HD Version,0.19,0.04,0.24,0.05,0.02,0.1,0.03,0.03,0.0,0.01,0.01,0.02,0.03,0.23,0.08,0.14,0.05
Vampire Crawlers: The Turbo Wildcard from Vampire Survivors,0.03,0.03,0.05,0.15,0.08,0.19,0.09,0.04,0.02,0.05,0.03,0.04,0.01,0.12,0.14,0.22,0.23
Victoria 3,0.14,0.03,0.15,0.07,0.05,0.22,0.04,0.03,0.03,0.02,0.01,0.01,0.06,0.19,0.08,0.16,0.08
"Warhammer 40,000: Chaos Gate - Daemonhunters",0.11,0.04,0.16,0.08,0.04,0.35,0.07,0.05,0.03,0.04,0.03,0.03,0.03,0.23,0.23,0.25,0.22
"Warhammer 40,000: Dawn of War III",0.14,0.02,0.13,0.14,0.15,0.23,0.17,0.09,0.04,0.05,0.03,0.08,0.06,0.25,0.18,0.21,0.14
Wartales,0.02,0.0,0.03,0.0,0.02,0.09,0.0,0.03,0.0,0.0,0.0,0.0,0.03,0.04,0.08,0.11,0.05
Who's Your Daddy?!,0.12,0.01,0.22,0.02,0.06,0.08,0.01,0.0,0.01,0.0,0.0,0.0,0.04,0.06,0.05,0.13,0.07
World of Tanks,0.14,0.04,0.16,0.05,0.1,0.34,0.07,0.03,0.02,0.03,0.02,0.01,0.08,0.27,0.12,0.21,0.1
World of Tanks Blitz,0.09,0.01,0.09,0.01,0.06,0.23,0.03,0.01,0.01,0.0,0.0,0.01,0.03,0.14,0.13,0.12,0.13
X4: Foundations,0.15,0.07,0.17,0.08,0.04,0.27,0.03,0.09,0.01,0.01,0.01,0.05,0.06,0.08,0.32,0.4,0.32
XCOM: Enemy Unknown,0.11,0.03,0.16,0.01,0.01,0.19,0.01,0.01,0.01,0.0,0.02,0.01,0.02,0.07,0.17,0.14,0.13
XCOM® 2,0.03,0.02,0.07,0.03,0.01,0.15,0.04,0.02,0.0,0.01,0.0,0.01,0.0,0.07,0.16,0.1,0.12
Yu-Gi-Oh! Duel Links,0.05,0.04,0.04,0.05,0.03,0.23,0.02,0.03,0.04,0.04,0.02,0.02,0.02,0.1,0.18,0.19,0.15
Yu-Gi-Oh! Master Duel,0.04,0.01,0.06,0.0,0.01,0.18,0.0,0.02,0.0,0.0,0.0,0.0,0.05,0.04,0.07,0.1,0.14
shapez,0.05,0.03,0.09,0.05,0.01,0.1,0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.04,0.13,0.13,0.28
shapez 2 - Factory,0.09,0.04,0.14,0.06,0.0,0.16,0.02,0.05,0.01,0.03,0.0,0.01,0.04,0.11,0.14,0.25,0.25
theHunter: Call of the Wild™,0.11,0.06,0.11,0.07,0.02,0.22,0.01,0.06,0.01,0.01,0.02,0.01,0.02,0.17,0.17,0.2,0.2
